pdb_id,filename,role,source_url,retrieved_at_utc,http_status,content_type,content_length_header,etag,last_modified,size_bytes,sha256
119D,119D.cif,normal_reference_v1,https://files.rcsb.org/download/119D.cif,2026-08-04T02:13:20.641Z,200,chemical/x-cif,,,,113202,99b75e0ac931966fab3dd31c4fe471175b29dde0d73b48f114ba19464e5e5fbc
158D,158D.cif,normal_reference_v1,https://files.rcsb.org/download/158D.cif,2026-08-04T02:13:21.701Z,200,chemical/x-cif,,,,101386,a670dcac2c25cc3e0fc2d450cbbca45a0d610b123a4aa9e038a66ee41e38bee0
167D,167D.cif,normal_reference_v1,https://files.rcsb.org/download/167D.cif,2026-08-04T02:13:23.156Z,200,chemical/x-cif,,,,97278,1639e7fcb6996a4b20803835bc7cb0568469ac1c8b5726833338cec126716238
1BNA,1BNA.cif,normal_reference_v1,https://files.rcsb.org/download/1BNA.cif,2026-08-04T02:13:24.715Z,200,chemical/x-cif,,,,100712,76d550f32963de46f4f3c63caacb530f91a24f333fbc4312766d240b14e8cf30
1D29,1D29.cif,normal_reference_v1,https://files.rcsb.org/download/1D29.cif,2026-08-04T02:13:26.310Z,200,chemical/x-cif,,,,105709,6596ebfbfe9886351170b572203d28a213fd960a06e033bed52d3a0295c3dce0
1D49,1D49.cif,normal_reference_v1,https://files.rcsb.org/download/1D49.cif,2026-08-04T02:13:26.981Z,200,chemical/x-cif,,,,105957,5e1ea709562076adbe11b41e7719f5c63f01fd281f70deb8530b2d04a0265490
1D65,1D65.cif,normal_reference_v1,https://files.rcsb.org/download/1D65.cif,2026-08-04T02:13:27.758Z,200,chemical/x-cif,,,,101067,3f274ee1fc270db5963f3626c9fc994ca58227e3e04ae42c096c4fcc0483c739
1D89,1D89.cif,normal_reference_v1,https://files.rcsb.org/download/1D89.cif,2026-08-04T02:13:30.817Z,200,chemical/x-cif,,,,208147,1ede9b40dd8dc547a03185236cb0b1487fc2a987072ee5b189f908ae837c8125
1D98,1D98.cif,normal_reference_v1,https://files.rcsb.org/download/1D98.cif,2026-08-04T02:13:33.509Z,200,chemical/x-cif,,,,96356,03885e1d0debd2d8a25ab48579e05d785d8205e1b1087f8bd647735c260d53e2
1DN9,1DN9.cif,normal_reference_v1,https://files.rcsb.org/download/1DN9.cif,2026-08-04T02:13:34.961Z,200,chemical/x-cif,,,,96364,289623523e649af85aab488abbf05d84f560ccbe400f5ff995c50de610b9f691
1JGR,1JGR.cif,normal_reference_v1,https://files.rcsb.org/download/1JGR.cif,2026-08-04T02:13:36.034Z,200,chemical/x-cif,,,,210230,4c9150fdd8403b1330af209dafc979c8299886c4aa7addbf1485ac213011a0a6
2BNA,2BNA.cif,normal_reference_v1,https://files.rcsb.org/download/2BNA.cif,2026-08-04T02:13:38.246Z,200,chemical/x-cif,,,,99749,1750b422b5097571a660ab1264bbf0fc2daf97a9a163f6171504decb1faaf029
3BSE,3BSE.cif,normal_reference_v1,https://files.rcsb.org/download/3BSE.cif,2026-08-04T02:13:39.799Z,200,chemical/x-cif,,,,147693,bb0ced8048907ae9e550912f1c539a42340b969b4dda1af5b7e6f2127771dcce
3IXN,3IXN.cif,normal_reference_v1,https://files.rcsb.org/download/3IXN.cif,2026-08-04T02:13:41.029Z,200,chemical/x-cif,,,,96854,49febc3fdb315a33b6344312dabb7741f42001f360af73dc2be82faf03a8720d
463D,463D.cif,normal_reference_v1,https://files.rcsb.org/download/463D.cif,2026-08-04T02:13:41.948Z,200,chemical/x-cif,,,,130381,25484d9fa0460d96e40348b78dc8da059dc7bb5abe4cd1b002ccf08a6e0af24d
476D,476D.cif,normal_reference_v1,https://files.rcsb.org/download/476D.cif,2026-08-04T02:13:44.774Z,200,chemical/x-cif,,,,170140,651cbf908c3d303b8a752de84254349c55e98cacdc518a73670877551c338a0f
477D,477D.cif,normal_reference_v1,https://files.rcsb.org/download/477D.cif,2026-08-04T02:13:46.552Z,200,chemical/x-cif,,,,117287,c104af8cd60d1be068995abba72154ba91ec19b9d8f647c968ff224a4eb62c3e
4C64,4C64.cif,normal_reference_v1,https://files.rcsb.org/download/4C64.cif,2026-08-04T02:13:47.979Z,200,chemical/x-cif,,,,171254,f0aa31e31fcc2ffa8b4c5556e104663643e5789ece0713fd7540a8e3f5bb23eb
111D,111D.cif,unoxidized_GA_matched_analog,https://files.rcsb.org/download/111D.cif,2026-08-04T02:13:49.691Z,200,chemical/x-cif,,,,97360,dc1e545399021de8a069244b048f0b93b79ecff5e437d1af068b9aa43c27873e
178D,178D.cif,8OG_A_case,https://files.rcsb.org/download/178D.cif,2026-08-04T02:13:50.674Z,200,chemical/x-cif,,,,101166,ae6c0c9f836b39c967c60d5c10f1356535e877116b111fb5e7b0b10634292f34
183D,183D.cif,8OG_C_ASU_audit,https://files.rcsb.org/download/183D.cif,2026-08-04T02:13:52.304Z,200,chemical/x-cif,,,,70292,f1aa3a2493e8ce372e00725fa7a02a0a08089820d61a43019425c92bcb837e12
183D,183D-assembly1.cif,8OG_C_primary_assembly1,https://files.rcsb.org/download/183D-assembly1.cif,2026-08-04T02:13:53.195Z,200,chemical/x-cif,,,,62078,e71965166aaafe5ea1bf249246f25bb18816ef63fd0b12bff3cb5638bf371151
