variant,block,pair_group,weighting,n_pairs,n_structures,features_json,mean_json,sd_json,median_json,mad_scaled_json,covariance_json
pair_equal,absolute_3,AT_pair,pair_equal,105,18,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.18750476190476192, 3.8862190476190475, 16.32522857142857]","[0.1428835004073063, 2.6815382962488306, 5.121427338712742]","[0.158, 3.683, 16.22]","[0.1438122, 2.4151554000000006, 5.0690094000000006]","[[0.020415694688644695, 0.05700825375457879, 0.07022102774725272], [0.05700825375457879, 7.190647634249082, 0.7386199975274719], [0.07022102774725272, 0.7386199975274719, 26.229017985714275]]"
pair_equal,absolute_3,GC_pair,pair_equal,125,18,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.2322, 3.5427280000000003, 10.447272000000002]","[0.1602024424927572, 3.834593024996895, 6.078717275523013]","[0.216, 2.244, 10.347]","[0.1793946, 2.1319788, 6.981563399999999]","[[0.025664822580645175, 0.09227990161290324, 0.29226713870967735], [0.09227990161290324, 14.704103667354838, -0.15435453025806453], [0.29226713870967735, -0.15435453025806453, 36.95080371574193]]"
structure_equal,absolute_3,AT_pair,structure_equal,105,18,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.19017648709315374, 4.358102413019079, 15.656169893378223]","[0.15811598046259992, 3.0401608294839617, 4.65502006641422]","[0.153, 3.796, 15.875]","[0.1378818, 2.5115244, 4.7458026]","[[0.025000663277649278, 0.13927956667476063, 0.018027034961704352], [0.13927956667476063, 9.24257786912861, 1.622725297865837], [0.018027034961704356, 1.6227252978658375, 21.669211818719052]]"
structure_equal,absolute_3,GC_pair,structure_equal,125,18,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.21824722222222223, 3.4944305555555557, 10.000097376543211]","[0.1566257144637699, 3.7536649519484326, 5.954910439415669]","[0.178, 2.181, 10.295]","[0.15567299999999998, 2.2016609999999996, 7.1075844]","[[0.024531614431286385, 0.12480009901559647, 0.24556906678935655], [0.12480009901559647, 14.09000057148603, 1.1422238977167543], [0.24556906678935658, 1.1422238977167545, 35.46095834146172]]"
1D89_excluded,absolute_3,AT_pair,pair_equal,87,17,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.17656321839080458, 3.973459770114942, 15.195183908045976]","[0.15114467896760111, 2.716898264842148, 4.491152334464502]","[0.134, 3.691, 15.699]","[0.1452948, 2.3558513999999997, 4.5604776000000005]","[[0.0228447139802192, 0.08421815664260897, 0.022861895215183094], [0.08421815664260897, 7.381536181502272, 0.8750431005078857], [0.022861895215183094, 0.8750431005078857, 20.170449291365948]]"
1D89_excluded,absolute_3,GC_pair,pair_equal,107,17,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.20882242990654204, 3.674906542056075, 9.720373831775701]","[0.15459916601865129, 4.07570876469105, 5.83398364096801]","[0.168, 2.113, 9.534]","[0.1452948, 2.268378, 6.917811599999998]","[[0.0239009021336625, 0.14259520966319872, 0.1945094632339975], [0.14259520966319872, 16.61140193457944, 0.777732695644507], [0.1945094632339975, 0.777732695644507, 34.035365123082364]]"
3IXN_excluded,absolute_3,AT_pair,pair_equal,103,17,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.18032038834951455, 3.738271844660194, 16.351077669902914]","[0.13387521359659516, 2.4372554767010595, 5.12687331557044]","[0.157, 3.603, 16.22]","[0.1438122, 2.3202690000000006, 5.061596400000002]","[[0.01792257281553398, 0.007800010089472685, 0.0895947689891491], [0.007800010089472685, 5.940214258709309, 0.6432202629925757], [0.0895947689891491, 0.6432202629925757, 26.284829993908232]]"
3IXN_excluded,absolute_3,GC_pair,pair_equal,117,17,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.22967521367521368, 2.867256410256411, 10.809923076923077]","[0.15083016419823328, 2.5940470782219487, 5.9992076734806465]","[0.216, 2.113, 10.53]","[0.16456859999999998, 1.9377581999999998, 6.759173400000001]","[[0.022749738432066013, 0.10020398054818751, 0.29335359549071627], [0.10020398054818751, 6.729080244031829, 3.1644220974801067], [0.29335359549071627, 3.1644220974801067, 35.99049270954907]]"
terminal_excluded,absolute_3,AT_pair,pair_equal,103,18,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.19001941747572815, 3.9021067961165046, 16.496893203883495]","[0.14307155624896403, 2.7046217303292237, 5.017845707801935]","[0.166, 3.691, 16.253]","[0.1452948, 2.4507377999999997, 5.020083599999999]","[[0.02046947020750048, 0.056200478298115364, 0.048552894250904234], [0.056200478298115364, 7.314978704169045, 0.6112349723015411], [0.048552894250904234, 0.6112349723015411, 25.178775547306298]]"
terminal_excluded,absolute_3,GC_pair,pair_equal,91,18,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.2408571428571428, 3.416043956043956, 10.640175824175826]","[0.1640645246662673, 3.8545444259185455, 5.667985239911399]","[0.237, 2.113, 10.347]","[0.21052919999999997, 1.9095887999999999, 6.2017158]","[[0.026917168253968237, 0.11588888412698414, 0.3050804253968253], [0.11588888412698414, 14.85751273137973, -0.08840088559218455], [0.3050804253968253, -0.08840088559218455, 32.126056679853484]]"
high_resolution_le_2.5A,absolute_3,AT_pair,pair_equal,99,16,"[""abs_stretch_A"", ""abs_opening_deg"", ""abs_propeller_deg""]","[0.18002020202020202, 3.626818181818182, 16.136484848484848]","[0.13606495896115806, 2.364650400719995, 5.065432500348259]","[0.156, 3.383, 16.03]","[0.1452948, 2.2950648, 4.707255000000001]","[[0.018513673057101623, 0.011522728200371068, 0.09554300030921455], [0.011522728200371068, 5.591571517625233, -0.17384147217068685], [0.09554300030921455, -0.17384147217068685, 25.65860641558442]]"
