variant,weighting,n_pairs,n_structures,n_families_B,site,status,D_diagonal_111D,D_diagonal_178D,delta_D_diagonal_178D_minus_111D,D_mahalanobis_111D,D_mahalanobis_178D,delta_D_mahalanobis_178D_minus_111D,D_direct_diagonal
AT_all,pair_equal,105,18,12,4,ESTIMATED,32.649183741483206,36.91790523326159,4.268721491778386,35.550298664819024,40.2693901723759,4.719091507556875,7.409744001491985
AT_all,pair_equal,105,18,12,9,ESTIMATED,30.882520286120926,33.19032416246623,2.3078038763453073,33.80541824022478,36.227027867408104,2.4216096271833223,4.194299958105134
AT_all,structure_equal,105,18,12,4,ESTIMATED,27.89366786088492,31.289275166836152,3.3956073059512306,31.84231695000635,36.23609732680526,4.393780376798908,6.322438938939913
AT_all,structure_equal,105,18,12,9,ESTIMATED,26.521262518916394,28.25684570270018,1.7355831837837847,30.781331307276073,32.44733895757789,1.6660076503018182,3.624169958331043
AT_all,family_B_equal,105,18,12,4,ESTIMATED,24.73974284436024,27.300035882386247,2.560293038026007,26.584761842878805,30.1269560595566,3.542194216677796,5.374319159354563
AT_all,family_B_equal,105,18,12,9,ESTIMATED,23.51348333010288,24.838010166957858,1.3245268368549787,25.670525048058348,26.992264726127978,1.3217396780696298,3.0722083036115575
AT_nonterminal,pair_equal,103,18,12,4,ESTIMATED,32.48125373189376,36.74650923417325,4.265255502279494,35.20952526846286,39.884086785580955,4.674561517118093,7.3696002420936555
AT_nonterminal,pair_equal,103,18,12,9,ESTIMATED,30.738898845278595,33.03346345506205,2.2945646097834533,33.484801074864414,35.880084918938564,2.39528384407415,4.1704328681323215
AT_nonterminal,structure_equal,103,18,12,4,ESTIMATED,27.910648614243925,31.307131371589936,3.3964827573460106,31.825955333895102,36.19628391047979,4.37032857658469,6.320306228020183
AT_nonterminal,structure_equal,103,18,12,9,ESTIMATED,26.547346295244704,28.276259675269984,1.7289133800252792,30.773654656572905,32.42495773879032,1.6513030822174137,3.6227267934595626
AT_nonterminal,family_B_equal,103,18,12,4,ESTIMATED,24.770804397393317,27.329734169963675,2.558929772570359,26.58329048530208,30.091409537879446,3.508119052577367,5.372422470768447
AT_nonterminal,family_B_equal,103,18,12,9,ESTIMATED,23.553004907013026,24.86981120747331,1.3168063004602857,25.674276224386553,26.97998836110856,1.3057121367220077,3.0706874356434692
AT_terminal_only,pair_equal,2,1,1,NA,NOT_ESTIMABLE: Too few rows for six-variable covariance: 2,,,,,,,
AT_terminal_only,structure_equal,2,1,1,NA,NOT_ESTIMABLE: Too few rows for six-variable covariance: 2,,,,,,,
AT_terminal_only,family_B_equal,2,1,1,NA,NOT_ESTIMABLE: Too few rows for six-variable covariance: 2,,,,,,,
AT_internal_two_flanks_0GC,pair_equal,50,15,9,4,ESTIMATED,39.38953775369558,46.194142988677505,6.804605234981928,50.15970682700869,57.412154723600125,7.252447896591434,9.2467015295077
AT_internal_two_flanks_0GC,pair_equal,50,15,9,9,ESTIMATED,37.28084041991442,40.94223491446976,3.6613944945553385,47.54682035664654,51.88720663746202,4.34038628081548,5.165650137025318
AT_internal_two_flanks_0GC,structure_equal,50,15,9,4,ESTIMATED,42.31501242447428,49.63148618239935,7.316473757925067,53.864011915622804,61.85932332837482,7.995311412752017,9.903700488869843
AT_internal_two_flanks_0GC,structure_equal,50,15,9,9,ESTIMATED,40.08677534642124,44.004842498144846,3.918067151723605,51.35605342485256,56.01220764525417,4.656154220401611,5.563710557302733
AT_internal_two_flanks_0GC,family_B_equal,50,15,9,4,ESTIMATED,37.35257831792353,42.973164713367176,5.620586395443645,45.63058907024515,51.597148147466726,5.966559077221575,8.3341672157712
AT_internal_two_flanks_0GC,family_B_equal,50,15,9,9,ESTIMATED,35.38148470170739,38.41087750216408,3.0293928004566837,43.42360158012567,47.02613893169275,3.6025373515670793,4.654641548687886
AT_internal_two_flanks_1GC_target_matched,pair_equal,51,18,12,4,ESTIMATED,30.341261036777933,33.43318818145535,3.091927144677417,33.166490860764945,37.34670033086112,4.180209470096173,6.71469980403863
AT_internal_two_flanks_1GC_target_matched,pair_equal,51,18,12,9,ESTIMATED,28.728998734928588,30.38289802745797,1.6538992925293812,31.842567232729834,33.453570930385865,1.611003697656031,3.8267992707743823
AT_internal_two_flanks_1GC_target_matched,structure_equal,51,18,12,4,ESTIMATED,28.40339590682588,31.41015835830865,3.0067624514827678,32.416437276122274,36.90904965905416,4.492612382931888,6.190354086633164
AT_internal_two_flanks_1GC_target_matched,structure_equal,51,18,12,9,ESTIMATED,27.033438199741607,28.542683486374997,1.5092452866333907,31.367526102105586,32.83906267621747,1.4715365741118873,3.529922997586245
AT_internal_two_flanks_1GC_target_matched,family_B_equal,51,18,12,4,ESTIMATED,24.655811657899488,27.050066214531267,2.394254556631779,27.02943564766592,30.923674382873955,3.8942387352080345,5.2371631466280215
AT_internal_two_flanks_1GC_target_matched,family_B_equal,51,18,12,9,ESTIMATED,23.475999274730736,24.67697996759677,1.2009806928660325,26.168217594495594,27.425634402444267,1.2574168079486725,2.978677308629311
AT_internal_two_flanks_2GC,pair_equal,2,1,1,NA,NOT_ESTIMABLE: Too few rows for six-variable covariance: 2,,,,,,,
AT_internal_two_flanks_2GC,structure_equal,2,1,1,NA,NOT_ESTIMABLE: Too few rows for six-variable covariance: 2,,,,,,,
AT_internal_two_flanks_2GC,family_B_equal,2,1,1,NA,NOT_ESTIMABLE: Too few rows for six-variable covariance: 2,,,,,,,
GC_all,pair_equal,125,18,12,4,ESTIMATED,29.711529351614516,32.94609322685034,3.2345638752358212,44.21496666352797,50.84212487299544,6.627158209467474,6.347635199633662
GC_all,pair_equal,125,18,12,9,ESTIMATED,27.914187229237907,29.84942815342057,1.9352409241826614,41.280880337419035,44.814493403456254,3.533613066037219,3.5861659127817958
GC_all,structure_equal,125,18,12,4,ESTIMATED,30.764459768380693,34.21275438690322,3.448294618522528,43.892372652543315,50.367296174229466,6.474923521686151,6.623766917916473
GC_all,structure_equal,125,18,12,9,ESTIMATED,28.910436337278828,30.95977193358421,2.049335596305383,40.97971116571744,44.476687631810385,3.4969764660929457,3.7425707226035314
GC_all,family_B_equal,125,18,12,4,ESTIMATED,27.563182371285162,30.560479200381927,2.997296829096765,38.325851153189525,44.38342765095137,6.057576497761843,5.869002476691736
GC_all,family_B_equal,125,18,12,9,ESTIMATED,25.91560815714763,27.69765403494507,1.7820458777974402,35.836398976597195,38.96415425302253,3.127755276425333,3.307400523127383
canonical_pooled,pair_equal,230,18,12,4,ESTIMATED,29.29837132887897,33.24290868833947,3.9445373594604973,36.52134152842846,41.99599825112992,5.474656722701461,6.639796977597805
canonical_pooled,pair_equal,230,18,12,9,ESTIMATED,27.57568812269145,29.822188420583764,2.2465002978923145,34.42722398822759,37.18117958055736,2.753955592329774,3.76246252975375
canonical_pooled,structure_equal,230,18,12,4,ESTIMATED,28.592427883305668,32.556313077871685,3.963885194566018,35.30172988733682,40.4223799783671,5.120650091030278,6.5688874356823295
canonical_pooled,structure_equal,230,18,12,9,ESTIMATED,26.931225343690397,29.167807400654507,2.23658205696411,33.36814232437487,35.83320421887086,2.465061894495989,3.7361532740000722
