filter,weighting,site,n_reference_pairs,n_reference_structures,delta_D_diagonal_178D_minus_111D,delta_D_mahalanobis_178D_minus_111D,matched_direct_D_diagonal,matched_direct_D_mahalanobis,direction_D_diagonal,direction_D_mahalanobis
all_pairs,pair_equal,4,105,18,4.268721491778386,4.7190915075567474,7.409744001491986,7.378857822008618,positive,positive
all_pairs,pair_equal,9,105,18,2.3078038763453073,2.4216096271832797,4.194299958105134,3.87600135220456,positive,positive
all_pairs,structure_equal,4,105,18,3.3956073059512306,4.393780376798858,6.322438938939913,6.971115831053749,positive,positive
all_pairs,structure_equal,9,105,18,1.7355831837837847,1.6660076503018182,3.624169958331043,3.466064580213482,positive,positive
nonterminal_only,pair_equal,4,103,18,4.265255502279501,4.674561517118157,7.369600242093657,7.31273696978324,positive,positive
nonterminal_only,pair_equal,9,103,18,2.29456460978345,2.3952838440742,4.1704328681323215,3.8485581613701694,positive,positive
nonterminal_only,structure_equal,4,103,18,3.3964827573460106,4.37032857658448,6.320306228020184,6.938265475315016,positive,positive
nonterminal_only,structure_equal,9,103,18,1.7289133800252792,1.6513030822173285,3.622726793459563,3.4566905900207994,positive,positive
resolution_le_2_5A,pair_equal,4,99,16,5.004193698822576,5.046526266270291,8.335896349662532,7.970708116744417,positive,positive
resolution_le_2_5A,pair_equal,9,99,16,2.7568715010812284,3.169238031184605,4.6842784058066815,4.476604438225199,positive,positive
resolution_le_2_5A,structure_equal,4,99,16,4.9699453757688445,5.002169979242552,8.394579138724957,7.911572906740136,positive,positive
resolution_le_2_5A,structure_equal,9,99,16,2.7136391629576906,3.094955910411805,4.737857725228329,4.487870631678456,positive,positive
resolution_le_2_0A,pair_equal,4,45,9,11.32306005108586,10.941130500060012,16.64037889042767,16.315588354508506,positive,positive
resolution_le_2_0A,pair_equal,9,45,9,6.2100732509425995,5.201920053136618,9.393389491143857,9.136466511000696,positive,positive
resolution_le_2_0A,structure_equal,4,45,9,11.280761991816078,11.467955656523728,16.856566367600347,16.579897823535504,positive,positive
resolution_le_2_0A,structure_equal,9,45,9,6.208830531068244,5.416403761337065,9.483391808080341,9.052370524375771,positive,positive
nonterminal_and_resolution_le_2_5A,pair_equal,4,97,16,5.018845280097267,5.009782756218911,8.305051593433342,7.902801126742027,positive,positive
nonterminal_and_resolution_le_2_5A,pair_equal,9,97,16,2.75357095369052,3.1542886425366135,4.6654351805856225,4.45713059045655,positive,positive
nonterminal_and_resolution_le_2_5A,structure_equal,4,97,16,4.967886146286219,4.973603770207916,8.386427900364843,7.8832878075017145,positive,positive
nonterminal_and_resolution_le_2_5A,structure_equal,9,97,16,2.7052929452498162,3.0765428978858083,4.73313537699858,4.480970185647687,positive,positive
no_nonwater_hetero_structure,pair_equal,4,56,8,5.9008512408061335,5.515701677714475,8.31312745243504,7.88515507029929,positive,positive
no_nonwater_hetero_structure,pair_equal,9,56,8,3.1689160219260373,3.4183338618997254,4.623523026668412,4.494845169196148,positive,positive
no_nonwater_hetero_structure,structure_equal,4,56,8,5.507660475862771,5.09351989860356,7.86935476663576,7.427241185684221,positive,positive
no_nonwater_hetero_structure,structure_equal,9,56,8,2.9244925231218346,3.088609085557607,4.396713134826408,4.270245534164689,positive,positive
