baseline,weighting,n_pairs,n_structures,n_families_A,n_families_B,kish_weight_ess_not_independence_ess,correlation_rank,correlation_min_eigenvalue,correlation_max_eigenvalue,correlation_condition_number,max_abs_offdiagonal_correlation,max_correlation_feature_1,max_correlation_feature_2,max_correlation_signed
AT_only,pair_equal,105,18,13,12,104.99999999999993,6,0.5163388097804141,1.7184221908846165,3.3280903126677956,0.37536179493967314,oriented_stagger_A,oriented_buckle_deg,0.37536179493967314
AT_only,structure_equal,105,18,13,12,84.96953642384105,6,0.4452512286632261,2.0848597255482946,4.682434525352472,0.44443316188970483,oriented_shear_A,oriented_buckle_deg,0.44443316188970483
AT_only,family_A_equal,105,18,13,12,75.50942118921358,6,0.42872139675482396,2.085054358465363,4.863424998724191,0.4439452060549542,oriented_shear_A,oriented_buckle_deg,0.4439452060549542
AT_only,family_B_equal,105,18,13,12,68.60914403575113,6,0.4165837633913419,2.078075979715125,4.988374877594456,0.44434512129748027,oriented_shear_A,oriented_buckle_deg,0.44434512129748027
GC_only,pair_equal,125,18,13,12,125.00000000000013,6,0.2806881256989099,2.1842463979892495,7.781755614173211,0.4927439493376604,oriented_shear_A,oriented_opening_deg,-0.4927439493376604
GC_only,structure_equal,125,18,13,12,112.47830279652845,6,0.31055206811280134,2.0038508083580573,6.452543757107437,0.473944715160558,oriented_shear_A,oriented_opening_deg,-0.473944715160558
GC_only,family_A_equal,125,18,13,12,84.90092101590848,6,0.29803993271807777,2.2043216296590478,7.3960613584762855,0.4876692563780099,oriented_shear_A,oriented_opening_deg,-0.4876692563780099
GC_only,family_B_equal,125,18,13,12,75.7510512032923,6,0.2946124243334909,2.2660978085136008,7.69179308591704,0.49903047752244384,oriented_shear_A,oriented_stretch_A,0.49903047752244384
canonical_pooled,pair_equal,230,18,13,12,230.00000000000014,6,0.414377383093367,1.7356110535112503,4.188479208384266,0.3465813063373804,oriented_stagger_A,oriented_buckle_deg,0.3465813063373804
canonical_pooled,structure_equal,230,18,13,12,210.3516681695221,6,0.4117265881123403,1.8155993838513877,4.409721004843146,0.40095927667216175,oriented_stagger_A,oriented_opening_deg,-0.40095927667216175
canonical_pooled,family_A_equal,230,18,13,12,173.46182357301691,6,0.42329850751122056,1.9535008772971536,4.614948653570125,0.36960953212608305,oriented_stagger_A,oriented_opening_deg,-0.36960953212608305
canonical_pooled,family_B_equal,230,18,13,12,156.54392506085722,6,0.418818972061198,2.003450588923491,4.783571716113053,0.3683243806807148,oriented_stagger_A,oriented_buckle_deg,0.3683243806807148
