analysis_role,block,site,metric,D_111D_from_reference_origin,D_178D_from_reference_origin,radial_delta_178D_minus_111D,radial_relative_increase_pct,direct_diagonal_distance_between_111D_and_178D,direct_mahalanobis_distance_between_111D_and_178D
legacy_focused_absolute_three,absolute_3,4,diagonal,42.74139526361205,45.69716781375925,2.955772550147202,6.915479787024181,7.703378406075526,8.144600423901988
legacy_focused_absolute_three,absolute_3,4,mahalanobis,40.1108400759465,42.809106823681645,2.698266747735147,6.727026266780268,7.703378406075526,8.144600423901988
legacy_focused_absolute_three,absolute_3,4,robust_median_MAD,45.67014273390481,47.98154521101411,2.311402477109297,5.061080037731845,7.703378406075526,8.144600423901988
primary_signed_six,signed_6,4,diagonal,32.649183741483206,36.91790523326159,4.268721491778386,13.074512139654686,7.409744001491987,7.3788578220087695
primary_signed_six,signed_6,4,mahalanobis,35.55029866481933,40.26939017237625,4.719091507556918,13.27440748684045,7.409744001491987,7.3788578220087695
primary_signed_six,signed_6,4,robust_median_MAD,35.21027076865386,40.17610682963,4.965836060976137,14.103373682081994,7.409744001491987,7.3788578220087695
sensitivity_absolute_six,absolute_6,4,diagonal,42.74790142607349,45.78456993662747,3.03666851055398,7.103666868432064,8.078640978459946,8.682038490987816
sensitivity_absolute_six,absolute_6,4,mahalanobis,43.99762919565512,47.01009341967195,3.0124642240168384,6.846878522978068,8.078640978459946,8.682038490987816
sensitivity_absolute_six,absolute_6,4,robust_median_MAD,45.6790597233841,48.25514603911758,2.576086315733477,5.639534463566733,8.078640978459946,8.682038490987816
legacy_focused_absolute_three,absolute_3,9,diagonal,39.88591528319193,41.99631866315129,2.110403379959365,5.291099288998131,3.999625206143712,4.194155331911587
legacy_focused_absolute_three,absolute_3,9,mahalanobis,37.34815599049526,39.33154227022912,1.9833862797338568,5.310533350665584,3.999625206143712,4.194155331911587
legacy_focused_absolute_three,absolute_3,9,robust_median_MAD,42.59381188077425,44.44696498135077,1.8531531005765276,4.3507566445655295,3.999625206143712,4.194155331911587
primary_signed_six,signed_6,9,diagonal,30.88252028612092,33.19032416246623,2.307803876345311,7.472848248666004,4.194299958105134,3.8760013522046695
primary_signed_six,signed_6,9,mahalanobis,33.80541824022505,36.227027867408445,2.4216096271833933,7.163377213602762,4.194299958105134,3.8760013522046695
primary_signed_six,signed_6,9,robust_median_MAD,33.34165056636218,35.925677457089755,2.5840268907275714,7.750146878854737,4.194299958105134,3.8760013522046695
sensitivity_absolute_six,absolute_6,9,diagonal,39.927980334573625,42.00405237658036,2.076072042006736,5.199541836602904,4.525873487716989,5.287449112332837
sensitivity_absolute_six,absolute_6,9,mahalanobis,40.80601513539049,43.41859302356218,2.612577888171693,6.4024332675058,4.525873487716989,5.287449112332837
sensitivity_absolute_six,absolute_6,9,robust_median_MAD,42.724512900100514,44.45182903022396,1.727316130123441,4.042915911440098,4.525873487716989,5.287449112332837
