condition,site,delta
주분석: pair-equal,4,4.268721491778386
주분석: pair-equal,9,2.3078038763453077
structure-equal,4,3.3956073059512306
structure-equal,9,1.7355831837837847
family A equal,4,2.726959804470411
family A equal,9,1.4015836403974262
family B equal,4,2.560293038026007
family B equal,9,1.3245268368549787
표적과 같은 flank,4,3.091927144677417
표적과 같은 flank,9,1.6538992925293812
같은 flank + family B,4,2.394254556631779
같은 flank + family B,9,1.2009806928660325
말단 pair 제외,4,4.265255502279501
말단 pair 제외,9,2.29456460978345
해상도 ≤ 2.5 Å,4,5.004193698822576
해상도 ≤ 2.5 Å,9,2.7568715010812284
non-water hetero 없음,4,5.9008512408061335
non-water hetero 없음,9,3.1689160219260373
stretch 제외,4,-1.294562971951997
stretch 제외,9,-0.6282684417822395
